humidity,temperature,voltage,time,ip
42.6,25.8125,23.73,2025-10-20 16:52:33.306611,17
42.6,25.8125,23.71,2025-10-20 16:52:33.985474,17
42.6,25.8125,23.68,2025-10-20 16:52:34.699016,17
42.6,25.8125,23.73,2025-10-20 16:52:35.415689,17
42.6,25.8125,23.68,2025-10-20 16:52:36.120075,17
42.6,25.8125,23.71,2025-10-20 16:52:37.489752,17
42.6,25.8125,23.70,2025-10-20 16:52:38.205233,17
42.6,25.8125,23.71,2025-10-20 16:52:38.915225,17
42.6,25.8125,23.73,2025-10-20 16:52:39.650809,17
42.6,25.8125,23.68,2025-10-20 16:52:41.007453,17
42.6,25.8125,23.73,2025-10-20 16:52:41.690965,17
42.6,25.8125,23.74,2025-10-20 16:52:42.440712,17
42.6,25.8125,23.73,2025-10-20 16:52:43.101453,17
42.6,25.8125,23.70,2025-10-20 16:52:44.504488,17
42.6,25.8125,23.71,2025-10-20 16:52:45.221355,17
42.6,25.8125,23.68,2025-10-20 16:52:46.605761,17
42.6,25.8125,23.73,2025-10-20 16:52:47.312552,17
42.6,25.8125,23.67,2025-10-20 16:52:48.004959,17
42.6,25.8125,23.68,2025-10-20 16:52:48.699482,17
42.6,25.8125,23.73,2025-10-20 16:52:49.406169,17
42.6,25.8125,23.71,2025-10-20 16:52:50.106776,17
42.6,25.8125,23.73,2025-10-20 16:52:50.799493,17
42.6,25.8125,23.71,2025-10-20 16:52:51.511423,17
42.6,25.8125,23.76,2025-10-20 16:52:52.904140,17
42.6,25.8125,23.71,2025-10-20 16:52:53.621454,17
42.6,25.8125,23.73,2025-10-20 16:52:54.300605,17
42.6,25.8125,23.71,2025-10-20 16:52:55.007512,17
42.6,25.8125,23.70,2025-10-20 16:52:55.699602,17
42.6,25.8125,23.68,2025-10-20 16:52:56.416387,17
42.6,25.8125,23.73,2025-10-20 16:52:57.103754,17
42.6,25.8125,23.68,2025-10-20 16:52:57.796701,17
42.6,25.8125,23.74,2025-10-20 16:52:59.208112,17
42.6,25.8125,23.71,2025-10-20 16:52:59.896336,17
42.6,25.8125,23.70,2025-10-20 16:53:00.596663,17
42.7,25.8125,23.70,2025-10-20 16:53:00.671174,17
42.7,25.8125,23.74,2025-10-20 16:53:01.292919,17
42.7,25.875,23.74,2025-10-20 16:53:01.426703,17
42.7,25.875,23.71,2025-10-20 16:53:02.711840,17
